add_info;annotation;brand;"<setup>FMANUFACTURER;Все бренды:;string</setup>";"<setup>FATT_STR_38;Бренд:;string</setup>";"<setup>FNUMBER;Код товара;string</setup>";"<setup>FSTATE;Остатки на складе;int</setup>";"<setup>FATT_STR_33;DIA:;string</setup>";"<setup>FATT_STR_29;Посадочный диаметр:;string</setup>";"<setup>FATT_STR_32;Вылет:;string</setup>";"<setup>FATT_STR_30;Кол-во отверстий:;string</setup>";img;img_full;"<setup>FATT_STR_60;Ссылка:;string</setup>";"<setup>FATT_STR_36;Модель:;string</setup>";"<setup>FNAME;Наименование;string</setup>";"<setup>FATT_STR_31;PCD:;string</setup>";"<setup>FATT_STR_62;Цена закупа;int</setup>";"<setup>FATT_STR_63;Цена продажи;int</setup>";"<setup>FPRICE;Стоимость;double</setup>";"<setup>FATT_STR_61;Продавец:;string</setup>";short_name;"<setup>FANNOTATION;Описания;string</setup>";title_short;"<setup>FATT_STR_34;Тип:;string</setup>";"<setup>FATT_STR_24;Вид товара:;string</setup>";"<setup>FATT_STR_28;Ширина обода:;string</setup>"
(насыщенный) (диповые);"8.5x18"", 5x108.00, ET38, ЦО 63,4мм.";Work Emotion;WORK;WORK;40184;4;63.4;18;38;5;https://static.baza.farpost.ru/drom/1528486243211_bulletin;https://static.baza.farpost.ru/drom/1528486243211_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-107-hyper-work-t7r-r18-107-8856-62398264.html;JS 107 T7R;8,5*18 5*108,0 ET38 63,4 WORK JS 107 T7R (насыщенный) (диповые);108.0;27900;32900;8225;WorldWheels;"8.5x18"", 5x108.0, ET38, ЦО63.4";Новые! Диповые JS 107 Hyper Work T7R R18 (107-8856);JS 107 Work T7R (насыщенный) (диповые);Литой;Disk;8.5
(насыщенный) (диповые);"9.5x18"", 5x112.00, ET38, ЦО 66,6мм.";Work Emotion;WORK;WORK;40185;4;66.6;18;38;5;https://static.baza.farpost.ru/drom/1528487981954_bulletin;https://static.baza.farpost.ru/drom/1528487981954_default;https://baza.drom.ru/vladivostok/wheel/disc/letnjaja-skidka-dipovye-js-107-work-emotion-t7r-hyper-r18-107-8946-62398302.html;JS 107 Emotion T7R;9,5*18 5*112,0 ET38 66,6 WORK JS 107 Emotion T7R (насыщенный) (диповые);112.0;27900;32900;8225;WorldWheels;"9.5x18"", 5x112.0, ET38, ЦО66.6";Летняя скидка! Диповые JS 107 Work Emotion T7R Hyper R18 (107-8946);JS 107 Work Emotion T7R (насыщенный) (диповые);Литой;Disk;9.5
(насыщенный) (диповые);"9.5x18"", 5x120.00, ET35, ЦО 72,6мм.";Work Emotion;WORK;WORK;40186;4;72.6;18;35;5;https://static.baza.farpost.ru/drom/1528487870972_bulletin;https://static.baza.farpost.ru/drom/1528487870972_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-107-hyper-work-t7r-r18-107-8936-62398328.html;JS 107 T7R;9,5*18 5*120,0 ET35 72,6 WORK JS 107 T7R (насыщенный) (диповые);120.0;27900;32900;8225;WorldWheels;"9.5x18"", 5x120.0, ET35, ЦО72.6";Новые! Диповые JS 107 Hyper Work T7R R18 (107-8936);JS 107 Work T7R (насыщенный) (диповые);Литой;Disk;9.5
(белые) (диповые);"8.5/9.5x18"", 5x114.30, ET38/22";Work Emotion;WORK;WORK;40187;4;0.0;18;38;5;https://static.baza.farpost.ru/drom/1527488902988_bulletin;https://static.baza.farpost.ru/drom/1527488902988_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-zlye-dipovye-work-emotion-t7r-white-r18-107-8820-8921-63760420.html;Emotion T7R;8,5*18 5*114,3 ET38 WORK Emotion T7R (белые) (диповые);114.3;27900;32900;8225;WorldWheels;"8.5x18"", 5x114.3, ET38,";Новые! Злые диповые Work Emotion T7R White R18 (107-8820/8921);Work Emotion T7R (белые) (диповые);Литой;Disk;8.5
(белые) (диповые);"8.5/9.5x18"", 5x114.30, ET38/22";Work Emotion;WORK;WORK;40188;4;0.0;18;22;5;https://static.baza.farpost.ru/drom/1527488902988_bulletin;https://static.baza.farpost.ru/drom/1527488902988_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-zlye-dipovye-work-emotion-t7r-white-r18-107-8820-8921-63760420.html;Emotion T7R;8,5*18 5*114,3 ET22 WORK Emotion T7R (белые) (диповые);114.3;27900;32900;8225;WorldWheels;"8.5x18"", 5x114.3, ET22,";Новые! Злые диповые Work Emotion T7R White R18 (107-8820/8921);Work Emotion T7R (белые) (диповые);Литой;Disk;8.5
(белые) (диповые);"8.5/9.5x18"", 5x114.30, ET38/22";Work Emotion;WORK;WORK;40189;4;0.0;18;38;5;https://static.baza.farpost.ru/drom/1527488902988_bulletin;https://static.baza.farpost.ru/drom/1527488902988_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-zlye-dipovye-work-emotion-t7r-white-r18-107-8820-8921-63760420.html;Emotion T7R;9,5*18 5*114,3 ET38 WORK Emotion T7R (белые) (диповые);114.3;27900;32900;8225;WorldWheels;"9.5x18"", 5x114.3, ET38,";Новые! Злые диповые Work Emotion T7R White R18 (107-8820/8921);Work Emotion T7R (белые) (диповые);Литой;Disk;9.5
(белые) (диповые);"8.5/9.5x18"", 5x114.30, ET38/22";Work Emotion;WORK;WORK;40190;4;0.0;18;22;5;https://static.baza.farpost.ru/drom/1527488902988_bulletin;https://static.baza.farpost.ru/drom/1527488902988_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-zlye-dipovye-work-emotion-t7r-white-r18-107-8820-8921-63760420.html;Emotion T7R;9,5*18 5*114,3 ET22 WORK Emotion T7R (белые) (диповые);114.3;27900;32900;8225;WorldWheels;"9.5x18"", 5x114.3, ET22,";Новые! Злые диповые Work Emotion T7R White R18 (107-8820/8921);Work Emotion T7R (белые) (диповые);Литой;Disk;9.5
(насыщенный) (диповые);"8.5x18"", 5x112.00, ET38, ЦО 66,6мм.";Work Emotion;WORK;WORK;40191;4;66.6;18;38;5;https://static.baza.farpost.ru/drom/1528486088558_bulletin;https://static.baza.farpost.ru/drom/1528486088558_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-107-hyper-work-t7r-r18-107-8846-62398278.html;JS 107 T7R;8,5*18 5*112,0 ET38 66,6 WORK JS 107 T7R (насыщенный) (диповые);112.0;27900;32900;8225;WorldWheels;"8.5x18"", 5x112.0, ET38, ЦО66.6";Новые! Диповые JS 107 Hyper Work T7R R18 (107-8846);JS 107 Work T7R (насыщенный) (диповые);Литой;Disk;8.5
(белые) (диповые);"8.5x18"", 5x114.30, ET38";Work Emotion;WORK;WORK;40192;4;0.0;18;38;5;https://static.baza.farpost.ru/drom/1527580525183_bulletin;https://static.baza.farpost.ru/drom/1527580525183_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-107-white-work-t7r-r18-107-8820-62853010.html;JS 107 T7R;8,5*18 5*114,3 ET38 WORK JS 107 T7R (белые) (диповые);114.3;27900;32900;8225;WorldWheels;"8.5x18"", 5x114.3, ET38,";Новые! Диповые JS 107 White Work T7R R18 (107-8820);JS 107 Work T7R (белые) (диповые);Литой;Disk;8.5
(белые) (диповые);"9.5x18"", 5x114.30, ET22";Work Emotion;WORK;WORK;40193;4;0.0;18;22;5;https://static.baza.farpost.ru/drom/1527580465717_bulletin;https://static.baza.farpost.ru/drom/1527580465717_default;https://baza.drom.ru/vladivostok/wheel/disc/novye-dipovye-js-107-white-work-t7r-r18-107-8921-62853033.html;JS 107 T7R;9,5*18 5*114,3 ET22 WORK JS 107 T7R (белые) (диповые);114.3;27900;32900;8225;WorldWheels;"9.5x18"", 5x114.3, ET22,";Новые! Диповые JS 107 White Work T7R R18 (107-8921);JS 107 Work T7R (белые) (диповые);Литой;Disk;9.5
