link;price;title;title_short;annotation;diameter;width;et;pcd;type;dia;retail_price;brand;img;img_full;seller
https://baza.drom.ru/chita/wheel/disc/komplekt-diskov-rays-ce28-52273850.html;21999;Комплект дисков Rays CE28;Rays CE28;"9.0x17"", 5x100.00, 5x114.30, ET30, ЦО 73,1мм.";"17""";"9.0""";30мм;100.00x5,114.30x5;Литой;73,1 мм.;26999;RAYS;https://static.baza.farpost.ru/drom/1491343937069_bulletin;https://static.baza.farpost.ru/drom/1491343937069_default;Replika777
https://baza.drom.ru/chita/wheel/disc/komplekt-diskov-work-cr-kai-55549107.html;25999;Комплект дисков Work Cr-Kai;Work Cr-Kai;"8.5x18"", 5x114.30, ET30, ЦО 73,1мм.";"18""";"8.5""";30мм;114.30x5;Литой;73,1 мм.;30999;Work;https://static.baza.farpost.ru/drom/1499419637885_bulletin;https://static.baza.farpost.ru/drom/1499419637885_default;Replika777
https://baza.drom.ru/chita/wheel/disc/komplekt-diskov-rays-57318603.html;20999;Комплект дисков Rays;Rays;"9.0x17"", 5x100.00, ET35, ЦО 73,1мм.";"17""";"9.0""";35мм;100.00x5;Литой;73,1 мм.;25999;RAYS;https://static.baza.farpost.ru/drom/1505891039388_bulletin;https://static.baza.farpost.ru/drom/1505891039388_default;Replika777
https://baza.drom.ru/chita/wheel/disc/komplekt-diskov-vossen-vfs2-58125931.html;26999;Комплект дисков Vossen VFS2;Vossen VFS2;"8.0x18"", 5x114.30, ET40, ЦО 73,1мм.";"18""";"8.0""";40мм;114.30x5;Литой;73,1 мм.;31999;Vossen;https://static.baza.farpost.ru/drom/1493273173001_bulletin;https://static.baza.farpost.ru/drom/1493273173001_default;Replika777
https://baza.drom.ru/chita/wheel/disc/komplekt-diskov-weds-59797931.html;26999;Комплект дисков Weds;Weds;"9.5x18"", 5x114.30, ET20, ЦО 73,1мм.";"18""";"9.5""";20мм;114.30x5;Литой;73,1 мм.;31999;Weds Sport;https://static.baza.farpost.ru/drom/1486715809632_bulletin;https://static.baza.farpost.ru/drom/1486715809632_default;Replika777
https://baza.drom.ru/chita/wheel/disc/new-prodrive-gc-05f-60269523.html;21999;New! Prodrive GC-05F;Prodrive GC-05F;"9.0x17"", 5x100.00, ET30, ЦО 73,1мм.";"17""";"9.0""";30мм;100.00x5;Литой;73,1 мм.;26999;ProDrive;https://static.baza.farpost.ru/drom/1504915851736_bulletin;https://static.baza.farpost.ru/drom/1504915851736_default;Replika777
https://baza.drom.ru/chita/wheel/disc/komplekt-diskov-rays-61848208.html;21999;Комплект дисков Rays;Rays;"8.0x17"", 4x100.00, 4x114.30, ET35, ЦО 73,1мм.";"17""";"8.0""";35мм;100.00x4,114.30x4;Литой;73,1 мм.;26999;RAYS;https://static.baza.farpost.ru/drom/1506574996542_bulletin;https://static.baza.farpost.ru/drom/1506574996542_default;Replika777
https://baza.drom.ru/chita/wheel/disc/komplekt-diskov-rays-53748317.html;25999;Комплект дисков Rays;Rays;"8.5x18"", 5x114.30, ET38, ЦО 73,1мм.";"18""";"8.5""";38мм;114.30x5;Литой;73,1 мм.;30999;RAYS;https://static.baza.farpost.ru/drom/1493243492975_bulletin;https://static.baza.farpost.ru/drom/1493243492975_default;Replika777
https://baza.drom.ru/chita/wheel/disc/komplekt-diskov-vossen-vfs2-55276590.html;26999;Комплект дисков Vossen VFS2;Vossen VFS2;"8.0/9.0x18"", 5x114.30, ET40/38, ЦО 73,1мм.";"18""";"8.0/9.0""";40/38мм;114.30x5;Литой;73,1 мм.;31999;Vossen;https://static.baza.farpost.ru/drom/1495683625253_bulletin;https://static.baza.farpost.ru/drom/1495683625253_default;Replika777
https://baza.drom.ru/chita/wheel/disc/new-prodrive-gc-05f-55388493.html;21999;New! Prodrive GC-05F;Prodrive GC-05F;"8.0x17"", 5x114.30, ET35, ЦО 73,1мм.";"17""";"8.0""";35мм;114.30x5;Литой;73,1 мм.;26999;ProDrive;https://static.baza.farpost.ru/drom/1498831183272_bulletin;https://static.baza.farpost.ru/drom/1498831183272_default;Replika777
